#data counter
27450.698187 1
24776.571547 2
26292.354560 3
20637.724293 4
24676.106476 5
18679.149690 6
21521.005307 7
20770.737327 8
20767.288267 9
24510.654362 10
30293.454108 11
21885.158669 12
21974.032036 13
21695.119397 14
23757.823571 15
23253.613425 16
15092.299578 17
23678.474379 18
19571.003929 19
25897.321073 20
22178.863135 21
20206.272874 22
18441.971671 23
25785.419858 24
28178.562870 25
26137.200462 26
24422.713123 27
27361.147903 28
27547.321959 29
26900.550314 30
