#data counter step time
100 1 473 11.0
100 2 489 11.0
100 3 519 12.0
500 4 520 12.0
100 5 525 12.0
150 6 538 13.0
150 7 562 13.0
100 8 576 13.0
75 9 610 14.0
100 10 611 14.0
50 11 617 14.0
100 12 654 15.0
500 13 655 15.0
100 14 665 15.0
100 15 684 16.0
100 16 699 16.0
150 17 718 16.0
100 18 720 16.0
500 19 721 16.0
100 20 730 17.0
500 21 732 17.0
100 22 752 17.0
100 23 775 18.0
100 24 794 18.0
500 25 795 18.0
100 26 844 19.0
100 27 853 19.0
500 28 901 20.0
50 29 909 21.0
100 30 952 21.0
50 31 983 22.0
