#data counter step time
50 1 1473 65.0
100 2 1546 70.0
100 3 1613 74.0
100 4 1634 76.0
500 5 1718 81.0
500 6 1732 82.0
50 7 1762 84.0
75 8 1819 89.0
75 9 1855 92.0
100 10 1920 97.0
75 11 2023 107.0
500 12 2061 110.0
50 13 2064 110.0
75 14 2067 110.0
50 15 2116 113.0
150 16 2159 116.0
75 17 2197 119.0
100 18 2215 120.0
75 19 2238 122.0
75 20 2273 127.0
50 21 2331 132.0
500 22 2341 133.0
500 23 2389 136.0
500 24 2414 139.0
150 25 2426 140.0
50 26 2457 143.0
100 27 2468 144.0
100 28 2493 147.0
75 29 2504 148.0
100 30 2506 148.0
100 31 2508 148.0
100 32 2526 150.0
150 33 2527 150.0
75 34 2533 150.0
75 35 2540 151.0
500 36 2550 152.0
100 37 2561 153.0
100 38 2565 153.0
500 39 2566 153.0
150 40 2574 154.0
500 41 2581 155.0
50 42 2582 155.0
100 43 2591 156.0
50 44 2600 157.0
75 45 2609 157.0
50 46 2612 157.0
100 47 2615 157.0
150 48 2617 157.0
75 49 2639 159.0
100 50 2641 159.0
50 51 2658 160.0
50 52 2662 160.0
50 53 2669 161.0
50 54 2682 162.0
75 55 2710 167.0
500 56 2715 167.0
100 57 2716 167.0
500 58 2719 167.0
50 59 2732 169.0
500 60 2733 169.0
150 61 2738 169.0
100 62 2763 172.0
100 63 2766 172.0
100 64 2774 173.0
75 65 2778 174.0
50 66 2798 176.0
100 67 2806 177.0
50 68 2822 179.0
75 69 2843 182.0
500 70 2853 183.0
100 71 2878 185.0
75 72 2895 186.0
75 73 2900 186.0
100 74 2905 186.0
100 75 2906 186.0
100 76 2910 187.0
100 77 2948 189.0
150 78 2957 190.0
100 79 2960 191.0
50 80 2968 192.0
500 81 2997 194.0
50 82 3006 194.0
75 83 3024 195.0
75 84 3035 196.0
100 85 3056 197.0
50 86 3057 197.0
50 87 3067 198.0
150 88 3091 200.0
100 89 3164 205.0
75 90 3176 207.0
150 91 3177 207.0
100 92 3190 209.0
100 93 3191 209.0
75 94 3193 209.0
500 95 3197 210.0
100 96 3213 212.0
75 97 3224 213.0
500 98 3227 214.0
100 99 3229 214.0
75 100 3231 214.0
75 101 3243 217.0
150 102 3248 217.0
50 103 3257 219.0
75 104 3264 221.0
100 105 3268 221.0
75 106 3270 221.0
500 107 3274 223.0
50 108 3280 224.0
75 109 3283 224.0
500 110 3287 227.0
100 111 3300 230.0
150 112 3311 233.0
100 113 3318 235.0
100 114 3320 235.0
500 115 3337 238.0
50 116 3340 238.0
50 117 3378 248.0
500 118 3391 252.0
100 119 3392 252.0
75 120 3396 252.0
75 121 3397 253.0
50 122 3411 260.0
500 123 3413 260.0
75 124 3415 261.0
75 125 3416 261.0
75 126 3429 267.0
75 127 3432 272.0
100 128 3439 274.0
75 129 3448 280.0
75 130 3449 281.0
100 131 3461 286.0
100 132 3465 289.0
100 133 3473 294.0
500 134 3479 300.0
50 135 3486 303.0
100 136 3490 305.0
100 137 3496 306.0
75 138 3502 308.0
100 139 3518 323.0
150 140 3520 325.0
500 141 3529 338.0
100 142 3543 353.0
500 143 3545 359.0
100 144 3549 372.0
500 145 3567 410.0
100 146 3569 430.0
50 147 3578 465.0
100 148 3581 482.0
100 149 3585 508.0
