#data counter step time
150 1 438 11.0
150 2 455 11.0
75 3 458 11.0
150 4 464 11.0
100 5 467 11.0
100 6 475 11.0
100 7 507 12.0
50 8 511 12.0
100 9 513 12.0
100 10 515 12.0
50 11 517 12.0
75 12 519 12.0
100 13 521 12.0
75 14 527 12.0
75 15 530 12.0
150 16 532 12.0
500 17 549 13.0
75 18 561 13.0
100 19 564 13.0
500 20 568 13.0
100 21 580 13.0
150 22 606 14.0
150 23 612 14.0
50 24 614 14.0
100 25 615 14.0
75 26 622 14.0
100 27 646 15.0
50 28 647 15.0
75 29 657 15.0
50 30 660 15.0
150 31 666 15.0
75 32 669 15.0
75 33 706 16.0
150 34 712 16.0
50 35 717 16.0
100 36 720 16.0
100 37 721 16.0
100 38 762 17.0
50 39 788 18.0
75 40 799 18.0
100 41 801 18.0
100 42 850 19.0
75 43 860 19.0
150 44 869 20.0
500 45 907 20.0
100 46 1010 23.0
