#data counter step time
50 1 1734 77.0
150 2 1814 83.0
150 3 1991 96.0
500 4 2024 99.0
75 5 2138 107.0
150 6 2142 107.0
75 7 2144 107.0
50 8 2231 114.0
100 9 2233 114.0
50 10 2243 115.0
500 11 2281 118.0
100 12 2287 119.0
100 13 2327 121.0
100 14 2338 122.0
75 15 2355 122.0
75 16 2363 123.0
75 17 2392 124.0
500 18 2400 125.0
50 19 2412 126.0
75 20 2432 127.0
75 21 2438 128.0
100 22 2454 129.0
50 23 2472 130.0
100 24 2495 132.0
500 25 2496 132.0
100 26 2498 132.0
75 27 2503 132.0
100 28 2534 134.0
500 29 2537 134.0
100 30 2562 136.0
100 31 2565 136.0
100 32 2566 136.0
500 33 2577 137.0
100 34 2595 138.0
100 35 2598 138.0
150 36 2602 138.0
150 37 2619 139.0
50 38 2624 140.0
75 39 2642 141.0
100 40 2646 141.0
500 41 2655 142.0
150 42 2667 143.0
100 43 2668 143.0
50 44 2678 144.0
500 45 2681 144.0
100 46 2702 145.0
50 47 2705 145.0
100 48 2715 147.0
150 49 2739 148.0
75 50 2750 149.0
500 51 2768 150.0
75 52 2785 151.0
50 53 2821 155.0
500 54 2831 156.0
500 55 2843 157.0
150 56 2849 158.0
500 57 2863 159.0
500 58 2864 159.0
100 59 2866 159.0
500 60 2871 160.0
100 61 2881 161.0
100 62 2883 161.0
100 63 2885 162.0
50 64 2889 162.0
50 65 2895 164.0
150 66 2896 164.0
100 67 2902 165.0
150 68 2906 166.0
100 69 2909 166.0
50 70 2921 167.0
100 71 2924 168.0
100 72 2927 168.0
75 73 2948 170.0
500 74 2966 172.0
50 75 2970 173.0
500 76 2973 173.0
50 77 2995 175.0
75 78 3021 178.0
50 79 3022 178.0
100 80 3030 179.0
500 81 3035 179.0
100 82 3037 180.0
100 83 3044 181.0
75 84 3046 181.0
150 85 3061 182.0
100 86 3067 183.0
50 87 3074 184.0
500 88 3081 184.0
150 89 3116 186.0
500 90 3138 188.0
150 91 3153 190.0
100 92 3157 190.0
50 93 3175 191.0
100 94 3179 191.0
150 95 3221 194.0
100 96 3225 194.0
75 97 3290 198.0
75 98 3303 199.0
75 99 3323 201.0
75 100 3355 203.0
75 101 3368 204.0
75 102 3375 204.0
500 103 3405 206.0
75 104 3428 208.0
150 105 3430 209.0
150 106 3432 209.0
150 107 3448 212.0
50 108 3456 213.0
75 109 3461 214.0
100 110 3466 214.0
75 111 3505 222.0
100 112 3507 223.0
50 113 3518 225.0
500 114 3519 225.0
500 115 3521 225.0
50 116 3527 225.0
150 117 3535 226.0
75 118 3542 227.0
150 119 3550 228.0
500 120 3556 229.0
75 121 3563 231.0
75 122 3569 232.0
100 123 3571 233.0
75 124 3575 234.0
75 125 3581 236.0
100 126 3594 240.0
50 127 3597 240.0
50 128 3600 241.0
100 129 3605 241.0
100 130 3614 243.0
100 131 3627 246.0
500 132 3635 248.0
150 133 3641 249.0
50 134 3643 249.0
100 135 3647 250.0
75 136 3648 250.0
100 137 3655 251.0
500 138 3658 252.0
100 139 3676 257.0
150 140 3695 263.0
150 141 3704 272.0
500 142 3706 279.0
100 143 3708 280.0
500 144 3710 280.0
100 145 3713 281.0
50 146 3714 281.0
150 147 3717 282.0
500 148 3725 290.0
150 149 3729 294.0
150 150 3733 294.0
150 151 3736 295.0
100 152 3739 295.0
500 153 3745 299.0
50 154 3760 307.0
500 155 3762 308.0
150 156 3770 313.0
100 157 3772 313.0
150 158 3776 337.0
100 159 3779 343.0
