#data counter step time
100 1 1389 50.0
50 2 1598 66.0
500 3 1697 73.0
50 4 1736 75.0
100 5 1823 79.0
100 6 1845 81.0
50 7 1900 84.0
100 8 2126 102.0
75 9 2130 102.0
150 10 2137 102.0
75 11 2158 104.0
50 12 2188 106.0
100 13 2189 106.0
50 14 2208 107.0
100 15 2210 107.0
100 16 2231 109.0
75 17 2276 112.0
500 18 2279 112.0
100 19 2289 113.0
500 20 2290 113.0
75 21 2316 114.0
500 22 2336 116.0
500 23 2365 118.0
50 24 2378 119.0
75 25 2386 120.0
100 26 2405 122.0
100 27 2418 123.0
150 28 2466 127.0
500 29 2509 130.0
150 30 2526 131.0
50 31 2527 131.0
75 32 2534 132.0
75 33 2544 133.0
100 34 2546 133.0
500 35 2560 134.0
100 36 2604 138.0
75 37 2638 141.0
50 38 2639 142.0
100 39 2650 143.0
75 40 2669 145.0
150 41 2674 146.0
75 42 2701 148.0
100 43 2703 148.0
75 44 2731 150.0
500 45 2740 150.0
150 46 2750 151.0
500 47 2756 151.0
50 48 2757 152.0
50 49 2771 154.0
500 50 2772 154.0
150 51 2791 155.0
100 52 2793 155.0
50 53 2802 156.0
100 54 2818 158.0
75 55 2833 159.0
500 56 2837 159.0
75 57 2839 159.0
50 58 2852 161.0
500 59 2873 163.0
50 60 2876 163.0
150 61 2890 165.0
100 62 2892 166.0
100 63 2898 166.0
75 64 2901 166.0
500 65 2906 167.0
150 66 2935 170.0
75 67 2937 170.0
75 68 2941 170.0
100 69 2944 171.0
150 70 2954 172.0
100 71 2957 172.0
150 72 2966 173.0
500 73 2987 175.0
100 74 2992 175.0
50 75 3001 176.0
150 76 3010 177.0
50 77 3060 182.0
50 78 3064 183.0
150 79 3066 183.0
100 80 3086 185.0
150 81 3095 186.0
100 82 3097 186.0
100 83 3113 187.0
500 84 3133 189.0
150 85 3156 191.0
75 86 3170 192.0
100 87 3194 194.0
50 88 3196 194.0
50 89 3212 196.0
50 90 3217 196.0
500 91 3234 197.0
150 92 3236 197.0
50 93 3239 197.0
500 94 3249 198.0
100 95 3253 198.0
75 96 3258 198.0
500 97 3264 199.0
75 98 3265 199.0
100 99 3296 200.0
100 100 3329 203.0
100 101 3345 204.0
500 102 3379 206.0
50 103 3394 207.0
150 104 3397 207.0
50 105 3408 209.0
75 106 3410 209.0
500 107 3417 209.0
100 108 3420 210.0
100 109 3427 211.0
75 110 3439 213.0
50 111 3450 217.0
500 112 3457 220.0
50 113 3468 222.0
50 114 3469 222.0
100 115 3479 223.0
100 116 3481 224.0
50 117 3489 225.0
100 118 3494 226.0
150 119 3496 226.0
500 120 3500 228.0
75 121 3505 229.0
100 122 3509 230.0
50 123 3510 230.0
500 124 3519 231.0
50 125 3524 232.0
100 126 3529 232.0
500 127 3538 235.0
150 128 3539 235.0
100 129 3543 237.0
100 130 3547 237.0
500 131 3550 238.0
150 132 3552 239.0
150 133 3571 246.0
100 134 3572 247.0
150 135 3580 250.0
100 136 3582 251.0
150 137 3590 252.0
75 138 3604 259.0
150 139 3605 259.0
500 140 3610 261.0
75 141 3625 266.0
500 142 3640 270.0
500 143 3646 273.0
150 144 3648 274.0
100 145 3655 278.0
500 146 3657 278.0
50 147 3660 282.0
100 148 3663 287.0
100 149 3665 289.0
500 150 3668 290.0
100 151 3674 295.0
100 152 3676 295.0
100 153 3703 320.0
100 154 3705 336.0
50 155 3709 339.0
100 156 3710 339.0
100 157 3735 415.0
150 158 3738 426.0
150 159 3741 437.0
50 160 3745 449.0
