#data counter step time
150 1 470 11.0
150 2 481 11.0
500 3 482 11.0
75 4 492 11.0
75 5 506 12.0
150 6 520 12.0
50 7 523 12.0
500 8 537 12.0
50 9 565 13.0
500 10 600 14.0
150 11 605 14.0
75 12 615 14.0
100 13 619 14.0
75 14 623 14.0
100 15 650 15.0
75 16 651 15.0
150 17 693 16.0
50 18 701 16.0
500 19 740 17.0
100 20 743 17.0
75 21 766 17.0
100 22 780 18.0
100 23 799 18.0
50 24 803 18.0
100 25 850 19.0
100 26 863 19.0
75 27 895 20.0
75 28 897 20.0
50 29 904 20.0
100 30 910 20.0
500 31 921 21.0
50 32 928 21.0
100 33 950 21.0
