#data counter step time
100 1 477 11.0
75 2 478 11.0
75 3 479 11.0
100 4 484 11.0
500 5 485 11.0
150 6 497 11.0
500 7 528 12.0
75 8 530 12.0
50 9 537 12.0
150 10 570 13.0
100 11 573 13.0
50 12 586 13.0
75 13 611 14.0
50 14 629 14.0
150 15 635 14.0
100 16 636 14.0
100 17 650 15.0
500 18 665 15.0
50 19 666 15.0
75 20 675 15.0
75 21 701 16.0
150 22 708 16.0
500 23 746 17.0
150 24 761 17.0
100 25 765 17.0
100 26 803 18.0
100 27 805 18.0
100 28 840 19.0
500 29 843 19.0
75 30 852 19.0
500 31 859 19.0
100 32 902 20.0
500 33 977 22.0
