#data counter step time
100 1 475 11.0
500 2 502 12.0
150 3 519 12.0
150 4 520 12.0
500 5 523 12.0
100 6 527 12.0
50 7 557 13.0
500 8 570 13.0
100 9 581 13.0
100 10 585 13.0
75 11 617 14.0
150 12 640 15.0
100 13 641 15.0
500 14 643 15.0
150 15 683 16.0
75 16 699 16.0
50 17 737 17.0
100 18 745 17.0
50 19 747 17.0
500 20 748 17.0
100 21 753 17.0
100 22 754 17.0
50 23 781 18.0
150 24 786 18.0
100 25 799 18.0
500 26 808 18.0
50 27 817 19.0
75 28 830 19.0
75 29 850 19.0
100 30 900 20.0
150 31 946 22.0
150 32 972 22.0
500 33 1009 23.0
