#data counter step time
100 1 1676 80.0
150 2 1833 90.0
50 3 1887 93.0
100 4 1979 99.0
500 5 1982 99.0
75 6 2001 101.0
75 7 2043 104.0
500 8 2047 104.0
100 9 2064 105.0
500 10 2070 105.0
75 11 2085 107.0
75 12 2136 112.0
100 13 2150 113.0
500 14 2162 114.0
50 15 2163 114.0
75 16 2181 116.0
500 17 2201 117.0
150 18 2257 121.0
50 19 2298 124.0
500 20 2299 124.0
500 21 2327 126.0
75 22 2336 127.0
100 23 2353 128.0
75 24 2363 128.0
500 25 2387 130.0
150 26 2412 131.0
100 27 2435 132.0
500 28 2463 135.0
100 29 2478 136.0
500 30 2480 136.0
500 31 2488 137.0
100 32 2500 138.0
100 33 2501 138.0
500 34 2544 141.0
50 35 2551 142.0
75 36 2560 143.0
500 37 2587 145.0
100 38 2612 148.0
75 39 2620 149.0
150 40 2627 150.0
50 41 2628 150.0
75 42 2644 152.0
100 43 2647 152.0
150 44 2659 153.0
75 45 2667 154.0
100 46 2674 154.0
150 47 2680 155.0
50 48 2683 155.0
50 49 2698 156.0
100 50 2702 156.0
150 51 2709 157.0
100 52 2744 160.0
100 53 2748 161.0
75 54 2753 161.0
100 55 2787 165.0
75 56 2804 167.0
500 57 2816 168.0
100 58 2822 169.0
150 59 2840 171.0
100 60 2846 171.0
150 61 2863 172.0
100 62 2864 172.0
150 63 2874 173.0
75 64 2875 173.0
100 65 2897 175.0
150 66 2901 175.0
75 67 2909 176.0
100 68 2925 178.0
75 69 2934 178.0
50 70 2940 180.0
75 71 2948 180.0
150 72 2960 182.0
100 73 2963 182.0
100 74 2964 182.0
100 75 2976 183.0
100 76 2977 183.0
100 77 3033 188.0
50 78 3040 189.0
150 79 3103 193.0
50 80 3120 194.0
500 81 3123 194.0
75 82 3138 195.0
100 83 3192 198.0
500 84 3199 199.0
75 85 3203 199.0
50 86 3228 201.0
75 87 3234 201.0
50 88 3257 203.0
500 89 3286 204.0
50 90 3308 205.0
100 91 3331 209.0
50 92 3338 210.0
100 93 3339 210.0
100 94 3340 210.0
100 95 3341 210.0
150 96 3353 213.0
500 97 3354 213.0
150 98 3358 214.0
150 99 3359 214.0
100 100 3366 215.0
150 101 3369 215.0
150 102 3381 216.0
75 103 3387 217.0
100 104 3404 220.0
500 105 3410 222.0
75 106 3415 223.0
100 107 3417 223.0
75 108 3441 227.0
150 109 3446 227.0
75 110 3451 227.0
100 111 3455 228.0
100 112 3468 230.0
150 113 3475 231.0
500 114 3496 237.0
100 115 3516 241.0
100 116 3518 241.0
75 117 3530 243.0
100 118 3538 244.0
100 119 3545 245.0
100 120 3553 246.0
50 121 3567 252.0
75 122 3571 253.0
50 123 3579 257.0
50 124 3582 258.0
500 125 3590 259.0
100 126 3595 260.0
50 127 3600 261.0
100 128 3606 262.0
75 129 3607 262.0
500 130 3609 263.0
75 131 3622 269.0
100 132 3636 274.0
75 133 3652 276.0
100 134 3669 281.0
150 135 3671 283.0
100 136 3679 287.0
150 137 3681 290.0
150 138 3685 294.0
500 139 3690 296.0
500 140 3691 297.0
50 141 3704 311.0
500 142 3708 313.0
50 143 3713 322.0
500 144 3716 323.0
150 145 3723 327.0
150 146 3729 332.0
50 147 3736 354.0
50 148 3738 363.0
100 149 3744 379.0
100 150 3748 416.0
