#data counter step time
150 1 471 11.0
50 2 473 11.0
150 3 476 11.0
50 4 488 11.0
150 5 490 11.0
500 6 505 12.0
100 7 516 12.0
100 8 523 12.0
75 9 531 12.0
100 10 542 12.0
150 11 574 13.0
500 12 577 13.0
150 13 581 13.0
100 14 583 13.0
75 15 586 13.0
500 16 588 13.0
75 17 590 13.0
50 18 611 14.0
150 19 628 14.0
100 20 638 14.0
100 21 642 14.0
50 22 655 15.0
150 23 672 15.0
75 24 677 15.0
100 25 678 15.0
150 26 693 16.0
100 27 705 16.0
100 28 712 16.0
75 29 717 16.0
500 30 734 17.0
500 31 741 17.0
150 32 753 17.0
100 33 770 17.0
100 34 781 18.0
500 35 858 20.0
500 36 876 20.0
150 37 917 21.0
75 38 940 21.0
