#data counter step time
75 1 1668 78.0
100 2 1676 79.0
500 3 1937 97.0
100 4 2007 102.0
500 5 2025 103.0
150 6 2029 104.0
500 7 2048 105.0
100 8 2052 105.0
100 9 2157 113.0
100 10 2168 113.0
100 11 2201 117.0
100 12 2207 118.0
100 13 2210 119.0
500 14 2215 119.0
500 15 2218 120.0
75 16 2220 120.0
150 17 2245 122.0
100 18 2248 122.0
50 19 2298 125.0
100 20 2318 127.0
150 21 2348 129.0
75 22 2402 134.0
150 23 2409 135.0
100 24 2450 138.0
100 25 2463 139.0
100 26 2483 140.0
75 27 2503 142.0
100 28 2506 142.0
500 29 2541 145.0
100 30 2549 146.0
500 31 2556 147.0
500 32 2568 149.0
75 33 2569 149.0
75 34 2577 150.0
150 35 2621 155.0
500 36 2630 156.0
150 37 2641 157.0
75 38 2649 158.0
500 39 2657 158.0
75 40 2668 159.0
75 41 2672 159.0
75 42 2675 159.0
150 43 2692 160.0
50 44 2740 164.0
150 45 2756 165.0
75 46 2767 166.0
50 47 2773 167.0
75 48 2774 167.0
500 49 2778 167.0
100 50 2782 168.0
50 51 2788 168.0
100 52 2789 168.0
500 53 2795 169.0
100 54 2816 172.0
500 55 2819 172.0
100 56 2822 173.0
100 57 2824 173.0
100 58 2826 173.0
100 59 2842 175.0
100 60 2851 176.0
75 61 2852 176.0
150 62 2871 178.0
100 63 2876 178.0
100 64 2883 179.0
150 65 2888 180.0
500 66 2898 181.0
150 67 2903 181.0
50 68 2910 182.0
50 69 2914 182.0
100 70 2925 183.0
100 71 2955 186.0
50 72 2960 186.0
100 73 2980 188.0
150 74 2983 188.0
50 75 2996 189.0
50 76 3005 190.0
100 77 3017 190.0
50 78 3026 191.0
150 79 3036 191.0
100 80 3042 192.0
100 81 3043 192.0
50 82 3064 193.0
150 83 3084 194.0
75 84 3087 194.0
500 85 3095 195.0
50 86 3112 196.0
100 87 3127 197.0
500 88 3133 197.0
100 89 3145 197.0
100 90 3159 198.0
150 91 3205 201.0
100 92 3234 204.0
150 93 3243 204.0
500 94 3263 205.0
500 95 3283 207.0
50 96 3286 207.0
75 97 3292 208.0
100 98 3293 208.0
75 99 3300 208.0
100 100 3302 209.0
500 101 3310 210.0
75 102 3322 211.0
75 103 3324 212.0
500 104 3329 213.0
100 105 3331 213.0
150 106 3340 215.0
100 107 3347 216.0
100 108 3353 218.0
150 109 3367 221.0
50 110 3378 225.0
75 111 3389 228.0
50 112 3392 230.0
500 113 3396 231.0
100 114 3398 232.0
100 115 3421 241.0
50 116 3432 243.0
50 117 3439 244.0
150 118 3441 244.0
100 119 3453 247.0
500 120 3464 250.0
100 121 3465 250.0
150 122 3470 251.0
50 123 3475 254.0
500 124 3478 256.0
150 125 3496 262.0
100 126 3503 265.0
500 127 3516 275.0
150 128 3519 276.0
100 129 3525 278.0
100 130 3529 280.0
50 131 3534 284.0
100 132 3540 286.0
100 133 3549 289.0
500 134 3551 289.0
75 135 3558 297.0
75 136 3561 298.0
100 137 3570 306.0
50 138 3575 308.0
50 139 3576 308.0
100 140 3595 324.0
100 141 3599 326.0
100 142 3620 357.0
75 143 3627 371.0
50 144 3636 385.0
50 145 3668 496.0
