#data counter step time
75 1 452 11.0
100 2 466 11.0
150 3 478 11.0
100 4 481 11.0
100 5 514 12.0
150 6 525 12.0
500 7 530 12.0
150 8 562 13.0
150 9 565 13.0
100 10 567 13.0
75 11 570 13.0
500 12 579 13.0
150 13 581 13.0
75 14 596 14.0
500 15 611 14.0
50 16 621 14.0
150 17 624 14.0
150 18 631 14.0
100 19 636 14.0
100 20 674 15.0
100 21 680 15.0
500 22 689 16.0
75 23 709 16.0
50 24 710 16.0
75 25 715 16.0
100 26 723 16.0
100 27 742 17.0
50 28 770 17.0
50 29 784 18.0
150 30 799 18.0
150 31 841 19.0
100 32 842 19.0
500 33 844 19.0
500 34 845 19.0
100 35 859 19.0
100 36 876 20.0
100 37 889 20.0
100 38 946 21.0
100 39 983 22.0
