#data counter step time
100 1 468 11.0
150 2 471 11.0
150 3 479 11.0
500 4 481 11.0
50 5 488 11.0
100 6 522 12.0
100 7 526 12.0
50 8 530 12.0
100 9 533 12.0
100 10 565 13.0
50 11 571 13.0
50 12 572 13.0
150 13 574 13.0
75 14 583 13.0
50 15 585 13.0
500 16 605 14.0
100 17 613 14.0
50 18 631 15.0
500 19 685 16.0
150 20 687 16.0
150 21 688 16.0
75 22 693 16.0
50 23 714 17.0
100 24 722 17.0
50 25 735 17.0
75 26 764 18.0
50 27 776 18.0
75 28 777 18.0
500 29 781 18.0
150 30 784 18.0
50 31 835 19.0
100 32 846 19.0
150 33 873 20.0
150 34 881 20.0
150 35 883 20.0
100 36 887 20.0
150 37 894 20.0
500 38 910 21.0
100 39 951 22.0
150 40 972 22.0
150 41 988 22.0
150 42 1014 23.0
