#data counter step time
100 1 1746 84.0
100 2 1779 88.0
50 3 1829 92.0
500 4 1876 96.0
75 5 1976 103.0
150 6 1981 104.0
75 7 2008 106.0
150 8 2025 107.0
75 9 2027 107.0
150 10 2063 110.0
500 11 2074 111.0
100 12 2100 113.0
100 13 2105 113.0
100 14 2129 114.0
100 15 2135 115.0
150 16 2165 116.0
50 17 2244 121.0
100 18 2280 125.0
100 19 2308 127.0
100 20 2332 129.0
500 21 2333 129.0
500 22 2340 130.0
150 23 2344 130.0
100 24 2345 130.0
150 25 2360 131.0
75 26 2371 131.0
100 27 2383 133.0
150 28 2410 136.0
100 29 2412 136.0
150 30 2427 137.0
100 31 2463 139.0
100 32 2479 140.0
100 33 2483 140.0
500 34 2517 142.0
100 35 2526 143.0
100 36 2531 143.0
100 37 2533 143.0
100 38 2544 144.0
150 39 2548 144.0
150 40 2553 144.0
50 41 2559 144.0
150 42 2569 145.0
75 43 2571 145.0
50 44 2579 146.0
50 45 2583 146.0
50 46 2600 147.0
100 47 2602 147.0
100 48 2611 148.0
500 49 2624 149.0
100 50 2632 150.0
50 51 2653 153.0
50 52 2661 154.0
75 53 2668 155.0
150 54 2669 155.0
100 55 2671 155.0
50 56 2686 157.0
75 57 2689 158.0
75 58 2701 160.0
100 59 2713 162.0
150 60 2720 163.0
50 61 2721 163.0
50 62 2730 164.0
50 63 2743 166.0
100 64 2746 166.0
100 65 2756 168.0
100 66 2760 169.0
500 67 2766 170.0
50 68 2780 173.0
100 69 2783 173.0
75 70 2784 173.0
50 71 2794 174.0
50 72 2796 174.0
75 73 2819 176.0
50 74 2832 178.0
50 75 2835 178.0
150 76 2847 179.0
50 77 2854 180.0
100 78 2861 181.0
75 79 2862 181.0
150 80 2863 181.0
100 81 2875 182.0
75 82 2878 183.0
100 83 2894 185.0
100 84 2906 186.0
100 85 2921 187.0
100 86 2950 190.0
150 87 2980 192.0
150 88 3016 195.0
75 89 3025 196.0
50 90 3031 196.0
50 91 3034 197.0
150 92 3044 197.0
50 93 3045 197.0
500 94 3052 198.0
500 95 3057 198.0
500 96 3069 199.0
50 97 3074 199.0
150 98 3109 201.0
75 99 3128 202.0
75 100 3136 203.0
75 101 3139 203.0
75 102 3154 203.0
500 103 3162 204.0
100 104 3178 205.0
75 105 3182 205.0
75 106 3199 207.0
100 107 3211 208.0
150 108 3212 208.0
100 109 3216 209.0
500 110 3219 209.0
75 111 3224 210.0
100 112 3232 211.0
500 113 3256 222.0
100 114 3261 222.0
500 115 3266 223.0
500 116 3276 227.0
500 117 3284 230.0
150 118 3287 231.0
50 119 3297 233.0
100 120 3311 236.0
150 121 3314 241.0
100 122 3316 242.0
500 123 3321 243.0
100 124 3324 244.0
50 125 3334 246.0
500 126 3356 252.0
100 127 3360 253.0
500 128 3366 256.0
150 129 3369 257.0
500 130 3371 258.0
150 131 3374 258.0
75 132 3385 261.0
100 133 3389 265.0
50 134 3410 270.0
100 135 3414 277.0
50 136 3423 283.0
50 137 3430 285.0
75 138 3432 286.0
150 139 3436 298.0
100 140 3443 306.0
75 141 3446 312.0
150 142 3477 359.0
150 143 3480 371.0
75 144 3484 386.0
