#data counter step time
50 1 452 11.0
100 2 466 11.0
100 3 469 11.0
500 4 478 11.0
500 5 482 11.0
75 6 520 12.0
50 7 523 12.0
50 8 526 12.0
50 9 535 12.0
75 10 569 13.0
100 11 572 13.0
100 12 573 13.0
100 13 580 13.0
100 14 609 14.0
100 15 615 14.0
150 16 619 14.0
75 17 635 14.0
75 18 663 15.0
100 19 669 15.0
50 20 676 15.0
500 21 703 16.0
50 22 706 16.0
100 23 713 16.0
150 24 714 16.0
100 25 715 16.0
100 26 717 16.0
75 27 749 17.0
150 28 765 17.0
100 29 785 18.0
75 30 786 18.0
150 31 798 18.0
150 32 834 19.0
150 33 836 19.0
75 34 882 20.0
150 35 886 20.0
75 36 1006 23.0
