#data counter step time
75 1 1768 83.0
75 2 1882 90.0
100 3 1905 91.0
75 4 1946 95.0
100 5 1963 97.0
100 6 1965 97.0
100 7 2028 102.0
500 8 2091 108.0
50 9 2094 108.0
150 10 2114 110.0
75 11 2126 111.0
100 12 2129 111.0
75 13 2170 114.0
75 14 2176 115.0
50 15 2181 115.0
100 16 2195 116.0
500 17 2196 116.0
150 18 2219 119.0
500 19 2238 121.0
50 20 2239 121.0
500 21 2246 122.0
50 22 2351 127.0
100 23 2371 129.0
500 24 2380 130.0
500 25 2417 132.0
75 26 2422 132.0
75 27 2434 133.0
75 28 2454 134.0
500 29 2476 135.0
100 30 2482 136.0
100 31 2505 139.0
100 32 2524 141.0
100 33 2525 141.0
500 34 2540 142.0
100 35 2541 142.0
100 36 2551 143.0
50 37 2552 143.0
100 38 2556 143.0
100 39 2558 143.0
500 40 2587 145.0
75 41 2613 148.0
500 42 2616 148.0
500 43 2620 148.0
75 44 2634 150.0
50 45 2637 150.0
150 46 2639 150.0
75 47 2648 151.0
50 48 2670 153.0
50 49 2674 153.0
150 50 2682 154.0
500 51 2687 154.0
150 52 2724 158.0
150 53 2731 159.0
50 54 2740 160.0
150 55 2743 160.0
150 56 2745 161.0
150 57 2758 162.0
50 58 2766 163.0
150 59 2775 164.0
100 60 2781 164.0
500 61 2785 164.0
100 62 2801 165.0
75 63 2804 166.0
50 64 2817 167.0
150 65 2826 168.0
75 66 2834 168.0
50 67 2838 169.0
100 68 2847 170.0
100 69 2856 171.0
100 70 2857 171.0
500 71 2859 171.0
500 72 2861 171.0
150 73 2875 173.0
150 74 2879 173.0
100 75 2883 174.0
100 76 2884 174.0
500 77 2910 177.0
75 78 2913 177.0
150 79 2925 178.0
150 80 2967 184.0
100 81 2999 187.0
100 82 3031 189.0
50 83 3032 189.0
150 84 3043 189.0
100 85 3047 190.0
50 86 3053 190.0
100 87 3082 192.0
100 88 3113 194.0
50 89 3134 195.0
500 90 3239 203.0
100 91 3247 203.0
75 92 3251 203.0
500 93 3308 207.0
100 94 3317 208.0
75 95 3323 210.0
500 96 3326 210.0
75 97 3336 212.0
100 98 3337 212.0
100 99 3339 212.0
75 100 3359 217.0
50 101 3374 220.0
75 102 3389 223.0
100 103 3390 223.0
50 104 3398 224.0
100 105 3403 225.0
100 106 3416 227.0
500 107 3419 229.0
100 108 3421 229.0
500 109 3422 229.0
500 110 3428 230.0
100 111 3431 231.0
100 112 3439 233.0
50 113 3448 236.0
100 114 3462 239.0
100 115 3467 239.0
150 116 3471 240.0
500 117 3477 241.0
150 118 3484 242.0
100 119 3485 242.0
75 120 3487 242.0
500 121 3494 243.0
100 122 3497 244.0
100 123 3512 246.0
50 124 3513 246.0
50 125 3527 251.0
50 126 3539 258.0
75 127 3544 260.0
100 128 3548 260.0
150 129 3558 263.0
75 130 3564 266.0
500 131 3565 266.0
500 132 3582 274.0
500 133 3603 287.0
75 134 3616 292.0
150 135 3617 293.0
75 136 3621 294.0
500 137 3630 298.0
100 138 3639 304.0
500 139 3653 310.0
75 140 3662 327.0
75 141 3671 336.0
75 142 3686 346.0
500 143 3703 351.0
100 144 3709 360.0
75 145 3712 366.0
75 146 3727 396.0
75 147 3731 406.0
50 148 3737 419.0
75 149 3742 436.0
150 150 3745 443.0
100 151 3754 517.0
