#data counter step time
50 1 1808 83.0
75 2 1820 84.0
150 3 1821 84.0
100 4 1822 84.0
100 5 1836 86.0
100 6 1838 86.0
75 7 1841 86.0
500 8 1953 95.0
100 9 1997 99.0
75 10 2011 100.0
150 11 2018 101.0
75 12 2037 102.0
100 13 2107 107.0
100 14 2146 110.0
50 15 2188 114.0
100 16 2286 122.0
100 17 2302 124.0
50 18 2305 124.0
100 19 2307 124.0
100 20 2317 124.0
75 21 2327 126.0
100 22 2334 126.0
50 23 2339 126.0
100 24 2350 127.0
150 25 2409 130.0
50 26 2430 131.0
75 27 2437 131.0
100 28 2448 132.0
50 29 2452 133.0
75 30 2473 135.0
100 31 2476 135.0
100 32 2478 135.0
50 33 2487 136.0
100 34 2499 137.0
500 35 2546 142.0
500 36 2560 143.0
100 37 2580 145.0
150 38 2588 146.0
100 39 2592 147.0
150 40 2605 148.0
100 41 2628 152.0
500 42 2642 153.0
150 43 2644 154.0
100 44 2655 155.0
100 45 2678 157.0
100 46 2684 157.0
75 47 2692 159.0
100 48 2719 161.0
150 49 2732 162.0
50 50 2745 163.0
100 51 2757 164.0
100 52 2766 166.0
150 53 2774 167.0
75 54 2781 167.0
75 55 2783 168.0
100 56 2784 168.0
50 57 2831 172.0
100 58 2835 173.0
100 59 2842 174.0
500 60 2847 174.0
100 61 2862 176.0
150 62 2876 177.0
150 63 2887 178.0
100 64 2894 179.0
100 65 2895 179.0
150 66 2903 180.0
500 67 2921 182.0
100 68 2932 183.0
50 69 2945 185.0
75 70 2955 185.0
150 71 2960 186.0
100 72 2961 186.0
75 73 2968 186.0
100 74 2971 187.0
500 75 2990 188.0
150 76 3023 190.0
75 77 3035 191.0
50 78 3057 192.0
500 79 3062 192.0
150 80 3069 192.0
50 81 3076 193.0
500 82 3129 196.0
500 83 3142 197.0
75 84 3143 197.0
150 85 3188 200.0
100 86 3194 201.0
100 87 3200 201.0
100 88 3238 203.0
75 89 3239 203.0
150 90 3241 203.0
500 91 3277 205.0
100 92 3291 207.0
100 93 3300 209.0
75 94 3317 212.0
50 95 3323 214.0
75 96 3324 214.0
500 97 3328 214.0
500 98 3330 214.0
150 99 3358 219.0
100 100 3364 221.0
100 101 3367 222.0
100 102 3373 223.0
75 103 3378 224.0
100 104 3385 225.0
100 105 3406 230.0
50 106 3413 231.0
100 107 3414 232.0
100 108 3417 232.0
75 109 3424 233.0
500 110 3427 234.0
100 111 3433 238.0
500 112 3443 241.0
500 113 3444 241.0
500 114 3451 242.0
100 115 3460 245.0
50 116 3461 245.0
100 117 3462 245.0
100 118 3467 246.0
500 119 3480 248.0
500 120 3481 248.0
100 121 3483 248.0
50 122 3488 249.0
500 123 3497 250.0
75 124 3509 251.0
50 125 3526 255.0
75 126 3530 257.0
100 127 3533 258.0
100 128 3542 262.0
150 129 3549 265.0
500 130 3555 266.0
50 131 3560 268.0
50 132 3570 275.0
75 133 3575 278.0
100 134 3576 278.0
100 135 3587 283.0
150 136 3592 287.0
100 137 3596 288.0
75 138 3607 291.0
500 139 3628 303.0
50 140 3636 310.0
75 141 3641 314.0
500 142 3646 319.0
50 143 3648 325.0
75 144 3673 339.0
150 145 3680 347.0
150 146 3691 362.0
100 147 3703 388.0
50 148 3709 422.0
100 149 3711 423.0
50 150 3719 440.0
150 151 3721 484.0
