#data counter step time
100 1 468 11.0
75 2 469 11.0
50 3 474 11.0
100 4 475 11.0
50 5 476 11.0
75 6 477 11.0
100 7 479 11.0
100 8 513 12.0
50 9 515 12.0
150 10 518 12.0
500 11 524 12.0
100 12 532 12.0
100 13 558 13.0
150 14 562 13.0
100 15 563 13.0
100 16 592 14.0
50 17 608 14.0
100 18 612 14.0
100 19 616 14.0
75 20 618 14.0
500 21 620 14.0
150 22 621 14.0
500 23 622 14.0
50 24 650 15.0
500 25 653 15.0
100 26 654 15.0
100 27 657 15.0
500 28 662 15.0
500 29 672 15.0
50 30 701 16.0
75 31 712 16.0
50 32 743 17.0
150 33 752 17.0
50 34 792 18.0
150 35 803 18.0
100 36 831 19.0
150 37 848 19.0
500 38 854 19.0
100 39 857 19.0
150 40 863 19.0
500 41 897 20.0
100 42 899 20.0
75 43 918 20.0
75 44 943 21.0
75 45 954 21.0
