#data counter step time
100 1 1599 71.0
75 2 1617 72.0
100 3 1709 78.0
50 4 1925 91.0
75 5 1959 94.0
100 6 1978 96.0
75 7 2021 99.0
100 8 2067 103.0
150 9 2081 104.0
75 10 2108 107.0
100 11 2121 107.0
100 12 2132 108.0
75 13 2173 111.0
50 14 2224 115.0
75 15 2228 115.0
100 16 2231 116.0
75 17 2236 116.0
500 18 2267 120.0
150 19 2277 121.0
100 20 2281 122.0
50 21 2345 125.0
100 22 2347 125.0
100 23 2365 126.0
100 24 2417 128.0
75 25 2425 128.0
500 26 2435 129.0
150 27 2452 131.0
100 28 2460 131.0
150 29 2464 131.0
150 30 2492 133.0
150 31 2505 134.0
500 32 2516 135.0
100 33 2519 135.0
150 34 2524 135.0
500 35 2548 136.0
500 36 2566 138.0
50 37 2583 138.0
75 38 2595 139.0
100 39 2618 141.0
100 40 2639 144.0
100 41 2641 144.0
150 42 2647 145.0
100 43 2650 145.0
100 44 2658 146.0
75 45 2659 146.0
100 46 2660 146.0
150 47 2698 149.0
500 48 2721 151.0
100 49 2724 151.0
500 50 2725 151.0
75 51 2734 152.0
100 52 2738 152.0
150 53 2756 154.0
500 54 2778 156.0
75 55 2795 159.0
75 56 2796 159.0
100 57 2807 160.0
100 58 2815 161.0
150 59 2820 162.0
50 60 2834 162.0
500 61 2844 164.0
100 62 2863 166.0
100 63 2865 166.0
75 64 2873 167.0
100 65 2877 167.0
75 66 2881 168.0
50 67 2898 169.0
100 68 2909 171.0
100 69 2918 172.0
50 70 2923 172.0
150 71 2927 173.0
100 72 2943 174.0
100 73 2950 175.0
100 74 2952 175.0
75 75 2958 175.0
75 76 2972 177.0
50 77 2978 178.0
75 78 3001 179.0
100 79 3012 180.0
75 80 3026 181.0
50 81 3041 183.0
50 82 3090 187.0
100 83 3104 189.0
500 84 3108 189.0
500 85 3128 191.0
75 86 3160 193.0
150 87 3163 193.0
75 88 3165 194.0
50 89 3170 194.0
150 90 3245 198.0
500 91 3258 200.0
75 92 3266 200.0
500 93 3270 200.0
500 94 3282 201.0
500 95 3283 201.0
500 96 3288 202.0
75 97 3290 202.0
100 98 3303 203.0
100 99 3311 203.0
100 100 3322 204.0
75 101 3326 204.0
100 102 3332 204.0
150 103 3344 204.0
50 104 3412 210.0
150 105 3414 211.0
150 106 3419 213.0
500 107 3421 213.0
500 108 3423 213.0
75 109 3429 214.0
150 110 3433 215.0
150 111 3442 216.0
500 112 3448 217.0
50 113 3449 217.0
50 114 3451 218.0
500 115 3454 219.0
75 116 3459 220.0
50 117 3464 221.0
500 118 3469 223.0
150 119 3475 223.0
500 120 3477 223.0
100 121 3481 224.0
75 122 3489 227.0
150 123 3497 230.0
500 124 3500 232.0
75 125 3506 234.0
75 126 3510 235.0
100 127 3516 237.0
50 128 3521 238.0
75 129 3523 238.0
75 130 3530 241.0
100 131 3544 245.0
75 132 3547 245.0
50 133 3549 245.0
500 134 3555 247.0
50 135 3562 251.0
500 136 3565 252.0
150 137 3568 253.0
50 138 3581 257.0
150 139 3582 258.0
100 140 3598 263.0
75 141 3606 268.0
100 142 3609 271.0
100 143 3610 271.0
75 144 3635 284.0
150 145 3636 285.0
500 146 3641 286.0
500 147 3645 287.0
100 148 3656 293.0
50 149 3658 295.0
50 150 3660 296.0
75 151 3667 309.0
500 152 3669 311.0
150 153 3685 327.0
75 154 3703 362.0
500 155 3711 367.0
50 156 3715 380.0
50 157 3718 417.0
75 158 3720 419.0
