#data counter step time
100 1 466 11.0
100 2 477 11.0
100 3 487 11.0
150 4 488 11.0
100 5 528 12.0
150 6 549 13.0
100 7 555 13.0
100 8 560 13.0
50 9 564 13.0
100 10 574 13.0
100 11 585 13.0
150 12 605 14.0
150 13 618 14.0
500 14 620 14.0
50 15 624 14.0
50 16 626 14.0
100 17 627 14.0
100 18 631 14.0
100 19 657 15.0
500 20 659 15.0
150 21 665 15.0
75 22 668 15.0
50 23 669 15.0
50 24 696 16.0
150 25 707 16.0
500 26 720 16.0
100 27 722 16.0
75 28 735 17.0
75 29 740 17.0
150 30 760 17.0
100 31 799 18.0
75 32 801 18.0
150 33 803 18.0
50 34 833 19.0
100 35 842 19.0
50 36 854 19.0
100 37 855 19.0
100 38 879 20.0
