#data counter step time
150 1 1619 69.0
50 2 1666 72.0
50 3 1724 76.0
100 4 1862 86.0
150 5 1876 87.0
75 6 1941 92.0
75 7 2018 96.0
75 8 2051 99.0
100 9 2082 102.0
500 10 2100 104.0
100 11 2185 111.0
150 12 2198 112.0
500 13 2219 113.0
50 14 2228 114.0
75 15 2260 116.0
100 16 2295 118.0
100 17 2317 119.0
100 18 2323 119.0
50 19 2341 120.0
150 20 2400 124.0
75 21 2409 125.0
100 22 2413 125.0
50 23 2420 125.0
75 24 2430 126.0
50 25 2432 126.0
75 26 2438 126.0
500 27 2444 127.0
100 28 2474 129.0
100 29 2477 129.0
150 30 2502 131.0
500 31 2505 131.0
75 32 2529 132.0
150 33 2532 133.0
100 34 2535 133.0
100 35 2538 133.0
100 36 2563 135.0
75 37 2565 135.0
100 38 2584 137.0
500 39 2600 138.0
500 40 2602 138.0
100 41 2611 139.0
500 42 2631 140.0
150 43 2661 143.0
150 44 2666 144.0
100 45 2668 144.0
50 46 2687 146.0
75 47 2702 148.0
50 48 2736 152.0
100 49 2740 152.0
100 50 2742 152.0
75 51 2754 154.0
100 52 2780 156.0
50 53 2784 157.0
100 54 2800 158.0
150 55 2811 159.0
100 56 2814 160.0
50 57 2819 160.0
100 58 2826 160.0
100 59 2834 162.0
150 60 2850 163.0
100 61 2852 163.0
100 62 2861 164.0
75 63 2873 165.0
100 64 2902 168.0
50 65 2925 170.0
75 66 2941 172.0
75 67 2945 172.0
150 68 2951 172.0
75 69 2952 172.0
75 70 2960 173.0
75 71 2964 173.0
100 72 2970 174.0
50 73 2976 174.0
75 74 2983 174.0
75 75 3015 178.0
100 76 3017 178.0
75 77 3019 178.0
75 78 3035 180.0
50 79 3046 181.0
100 80 3053 181.0
75 81 3054 181.0
100 82 3060 182.0
75 83 3085 184.0
100 84 3086 184.0
100 85 3092 184.0
50 86 3154 189.0
75 87 3221 194.0
500 88 3224 194.0
150 89 3228 195.0
500 90 3255 197.0
100 91 3263 198.0
150 92 3290 200.0
500 93 3291 200.0
500 94 3292 200.0
50 95 3296 200.0
100 96 3316 201.0
75 97 3317 201.0
100 98 3376 205.0
75 99 3397 206.0
50 100 3408 207.0
75 101 3414 208.0
150 102 3418 209.0
500 103 3431 210.0
100 104 3437 212.0
100 105 3440 212.0
500 106 3444 213.0
75 107 3445 213.0
50 108 3457 215.0
50 109 3460 215.0
500 110 3461 215.0
100 111 3468 215.0
50 112 3475 217.0
500 113 3477 217.0
100 114 3478 217.0
150 115 3494 219.0
100 116 3501 219.0
75 117 3503 220.0
100 118 3505 220.0
50 119 3517 222.0
150 120 3534 226.0
75 121 3539 226.0
150 122 3545 228.0
150 123 3564 230.0
500 124 3573 231.0
50 125 3577 232.0
150 126 3592 236.0
50 127 3594 236.0
75 128 3613 241.0
500 129 3621 246.0
100 130 3622 246.0
100 131 3626 246.0
50 132 3636 249.0
75 133 3646 252.0
100 134 3656 255.0
50 135 3665 257.0
50 136 3666 257.0
50 137 3678 259.0
150 138 3691 268.0
500 139 3698 271.0
150 140 3700 272.0
500 141 3703 272.0
150 142 3706 273.0
100 143 3724 280.0
100 144 3733 285.0
50 145 3734 285.0
500 146 3742 295.0
100 147 3745 297.0
50 148 3748 298.0
100 149 3764 312.0
100 150 3765 313.0
75 151 3768 313.0
500 152 3770 315.0
75 153 3774 317.0
100 154 3778 319.0
100 155 3782 320.0
75 156 3800 352.0
150 157 3802 365.0
100 158 3825 405.0
500 159 3833 459.0
500 160 3836 501.0
