#data counter step time
100 1 463 11.0
50 2 471 11.0
100 3 472 11.0
75 4 483 11.0
100 5 486 11.0
75 6 509 12.0
50 7 526 12.0
100 8 527 12.0
150 9 541 12.0
100 10 571 13.0
500 11 575 13.0
75 12 576 13.0
100 13 578 13.0
100 14 579 13.0
50 15 652 15.0
100 16 687 16.0
50 17 688 16.0
100 18 690 16.0
150 19 721 17.0
150 20 737 17.0
75 21 750 17.0
100 22 752 17.0
500 23 774 18.0
500 24 782 18.0
100 25 795 18.0
500 26 834 19.0
100 27 836 19.0
150 28 872 20.0
150 29 884 20.0
75 30 902 21.0
50 31 917 21.0
100 32 952 22.0
