#data counter step time
100 1 1458 62.0
100 2 1635 75.0
500 3 1713 79.0
500 4 1805 83.0
500 5 1835 85.0
50 6 1869 87.0
150 7 1949 94.0
75 8 1952 94.0
75 9 1962 95.0
500 10 2089 104.0
50 11 2098 105.0
50 12 2106 105.0
50 13 2138 108.0
75 14 2151 109.0
50 15 2152 109.0
75 16 2181 111.0
50 17 2245 117.0
50 18 2257 118.0
100 19 2259 118.0
50 20 2294 120.0
100 21 2332 123.0
100 22 2362 127.0
100 23 2364 127.0
100 24 2400 130.0
100 25 2422 132.0
75 26 2424 132.0
100 27 2444 133.0
75 28 2456 134.0
100 29 2459 134.0
150 30 2465 135.0
100 31 2466 135.0
100 32 2489 137.0
500 33 2502 138.0
50 34 2503 138.0
500 35 2524 140.0
500 36 2540 142.0
100 37 2566 144.0
50 38 2567 144.0
100 39 2579 145.0
75 40 2590 146.0
100 41 2633 150.0
50 42 2637 150.0
100 43 2642 150.0
150 44 2656 151.0
50 45 2657 151.0
150 46 2671 153.0
150 47 2672 153.0
75 48 2673 153.0
75 49 2690 154.0
100 50 2695 155.0
150 51 2716 156.0
100 52 2719 157.0
150 53 2723 157.0
50 54 2727 157.0
75 55 2742 158.0
50 56 2747 159.0
75 57 2761 160.0
50 58 2764 160.0
50 59 2770 161.0
500 60 2771 161.0
500 61 2783 162.0
150 62 2808 165.0
100 63 2823 166.0
50 64 2850 170.0
100 65 2857 171.0
50 66 2864 171.0
100 67 2869 172.0
150 68 2871 172.0
75 69 2872 172.0
500 70 2891 174.0
100 71 2896 175.0
50 72 2906 177.0
50 73 2909 178.0
100 74 2912 178.0
75 75 2917 178.0
100 76 2922 179.0
150 77 2941 183.0
75 78 2942 183.0
50 79 2952 184.0
100 80 2964 184.0
100 81 2975 185.0
50 82 3000 188.0
100 83 3014 189.0
150 84 3034 191.0
150 85 3035 191.0
50 86 3044 191.0
500 87 3063 193.0
75 88 3071 193.0
100 89 3093 195.0
100 90 3094 195.0
500 91 3098 195.0
50 92 3112 196.0
50 93 3113 196.0
500 94 3129 197.0
100 95 3147 198.0
150 96 3152 198.0
100 97 3153 198.0
150 98 3190 201.0
150 99 3200 201.0
100 100 3228 203.0
75 101 3247 204.0
150 102 3280 207.0
75 103 3281 207.0
100 104 3287 208.0
150 105 3296 210.0
150 106 3297 210.0
100 107 3303 211.0
50 108 3304 211.0
500 109 3358 219.0
50 110 3381 224.0
100 111 3383 226.0
100 112 3385 226.0
75 113 3388 227.0
75 114 3391 227.0
100 115 3396 229.0
75 116 3400 230.0
100 117 3404 230.0
500 118 3410 231.0
75 119 3435 237.0
50 120 3442 238.0
150 121 3455 241.0
75 122 3464 242.0
100 123 3471 246.0
100 124 3474 247.0
500 125 3475 247.0
75 126 3478 248.0
75 127 3489 250.0
75 128 3491 251.0
100 129 3504 253.0
100 130 3506 253.0
50 131 3509 254.0
50 132 3511 254.0
75 133 3520 259.0
75 134 3523 262.0
500 135 3542 275.0
100 136 3548 279.0
100 137 3549 279.0
50 138 3556 282.0
150 139 3564 285.0
75 140 3567 286.0
100 141 3570 286.0
150 142 3575 289.0
100 143 3577 298.0
500 144 3582 301.0
500 145 3585 303.0
50 146 3589 305.0
100 147 3601 325.0
75 148 3613 339.0
150 149 3642 427.0
500 150 3661 476.0
100 151 3669 493.0
100 152 3672 540.0
