#data counter step time
500 1 471 11.0
100 2 474 11.0
50 3 485 11.0
100 4 487 11.0
75 5 493 11.0
150 6 523 12.0
50 7 541 12.0
100 8 569 13.0
100 9 575 13.0
500 10 596 14.0
150 11 606 14.0
150 12 607 14.0
100 13 616 14.0
75 14 650 15.0
50 15 651 15.0
50 16 655 15.0
75 17 660 15.0
100 18 661 15.0
50 19 675 16.0
100 20 679 16.0
100 21 690 16.0
75 22 697 16.0
500 23 707 16.0
100 24 708 16.0
50 25 711 16.0
100 26 729 17.0
100 27 736 17.0
100 28 737 17.0
500 29 753 17.0
500 30 755 17.0
150 31 784 18.0
75 32 787 18.0
50 33 788 18.0
150 34 808 18.0
100 35 832 19.0
100 36 839 19.0
100 37 870 20.0
50 38 888 20.0
100 39 1006 23.0
