#data counter step time
500 1 1328 44.0
100 2 1546 64.0
150 3 1873 87.0
500 4 2009 96.0
500 5 2030 97.0
50 6 2037 98.0
100 7 2038 98.0
150 8 2123 104.0
50 9 2131 105.0
500 10 2195 110.0
500 11 2238 113.0
100 12 2283 116.0
75 13 2390 124.0
100 14 2394 124.0
75 15 2396 124.0
50 16 2411 125.0
50 17 2412 125.0
75 18 2452 126.0
75 19 2456 127.0
50 20 2494 129.0
500 21 2499 129.0
75 22 2506 130.0
75 23 2513 130.0
75 24 2530 132.0
50 25 2542 133.0
500 26 2551 134.0
100 27 2564 135.0
100 28 2569 135.0
100 29 2620 139.0
100 30 2639 141.0
75 31 2701 145.0
100 32 2726 147.0
75 33 2737 149.0
75 34 2746 150.0
100 35 2747 150.0
50 36 2748 150.0
150 37 2758 151.0
50 38 2768 152.0
500 39 2783 154.0
150 40 2786 154.0
50 41 2787 154.0
100 42 2822 157.0
75 43 2826 157.0
150 44 2830 157.0
500 45 2835 157.0
100 46 2843 158.0
100 47 2859 160.0
500 48 2869 161.0
100 49 2878 162.0
75 50 2879 163.0
500 51 2891 164.0
100 52 2894 164.0
100 53 2917 166.0
50 54 2926 168.0
500 55 2943 169.0
500 56 2950 171.0
75 57 2952 171.0
500 58 2959 172.0
150 59 2972 173.0
150 60 2984 175.0
50 61 2987 175.0
500 62 3007 176.0
75 63 3012 176.0
75 64 3022 177.0
100 65 3034 177.0
50 66 3036 178.0
150 67 3037 178.0
500 68 3048 179.0
500 69 3050 179.0
75 70 3066 180.0
500 71 3068 180.0
50 72 3071 180.0
100 73 3075 181.0
500 74 3082 182.0
500 75 3094 184.0
75 76 3097 184.0
500 77 3123 186.0
50 78 3130 186.0
75 79 3157 189.0
50 80 3171 190.0
150 81 3175 190.0
75 82 3201 191.0
500 83 3211 192.0
150 84 3241 194.0
100 85 3249 194.0
75 86 3306 197.0
75 87 3317 198.0
50 88 3342 199.0
75 89 3355 200.0
75 90 3381 201.0
100 91 3397 203.0
100 92 3426 205.0
150 93 3427 205.0
150 94 3444 206.0
50 95 3458 207.0
50 96 3475 209.0
75 97 3478 209.0
150 98 3480 210.0
100 99 3482 210.0
100 100 3490 212.0
75 101 3499 213.0
150 102 3510 215.0
100 103 3512 215.0
100 104 3525 218.0
100 105 3530 219.0
150 106 3542 222.0
150 107 3543 222.0
75 108 3546 222.0
150 109 3548 223.0
150 110 3549 223.0
100 111 3562 225.0
150 112 3567 227.0
75 113 3581 230.0
75 114 3587 231.0
50 115 3593 232.0
50 116 3596 232.0
100 117 3626 241.0
100 118 3639 243.0
100 119 3645 244.0
100 120 3646 244.0
50 121 3650 245.0
75 122 3651 245.0
75 123 3678 250.0
75 124 3684 251.0
150 125 3687 252.0
500 126 3700 256.0
100 127 3701 256.0
50 128 3706 257.0
100 129 3712 259.0
75 130 3718 261.0
100 131 3722 262.0
100 132 3729 265.0
50 133 3730 265.0
100 134 3742 273.0
150 135 3752 274.0
100 136 3764 276.0
100 137 3770 278.0
50 138 3772 280.0
50 139 3783 285.0
500 140 3787 287.0
50 141 3799 298.0
500 142 3802 299.0
500 143 3822 312.0
150 144 3825 314.0
150 145 3827 315.0
500 146 3830 317.0
100 147 3833 318.0
100 148 3837 322.0
75 149 3840 325.0
75 150 3842 327.0
75 151 3853 337.0
150 152 3859 358.0
150 153 3870 379.0
150 154 3873 386.0
75 155 3877 388.0
150 156 3889 430.0
