#data counter step time
500 1 1688 75.0
100 2 1690 75.0
500 3 1887 88.0
100 4 1967 94.0
150 5 1969 94.0
50 6 2061 99.0
150 7 2071 100.0
100 8 2099 102.0
75 9 2122 104.0
100 10 2176 107.0
50 11 2188 108.0
150 12 2201 109.0
150 13 2221 110.0
75 14 2238 111.0
100 15 2256 112.0
500 16 2273 113.0
50 17 2296 115.0
50 18 2297 115.0
500 19 2319 116.0
500 20 2405 122.0
100 21 2420 124.0
100 22 2423 124.0
500 23 2433 125.0
100 24 2444 126.0
150 25 2459 126.0
100 26 2473 128.0
100 27 2492 129.0
150 28 2526 132.0
100 29 2534 133.0
150 30 2539 133.0
500 31 2577 136.0
75 32 2588 137.0
100 33 2591 137.0
150 34 2597 138.0
75 35 2599 138.0
50 36 2615 139.0
500 37 2622 140.0
100 38 2643 142.0
50 39 2644 142.0
100 40 2660 143.0
50 41 2666 144.0
500 42 2667 144.0
150 43 2675 145.0
500 44 2676 145.0
150 45 2691 146.0
150 46 2702 147.0
150 47 2703 147.0
100 48 2722 149.0
75 49 2735 151.0
50 50 2736 151.0
100 51 2748 152.0
500 52 2752 152.0
150 53 2761 153.0
500 54 2762 153.0
75 55 2764 153.0
100 56 2777 154.0
100 57 2784 155.0
50 58 2796 156.0
150 59 2799 156.0
150 60 2815 158.0
150 61 2826 159.0
50 62 2828 159.0
50 63 2861 162.0
100 64 2869 163.0
500 65 2873 163.0
50 66 2874 163.0
500 67 2916 167.0
500 68 2926 168.0
100 69 2939 170.0
75 70 2943 170.0
100 71 2951 171.0
500 72 2955 171.0
500 73 2958 172.0
100 74 2961 172.0
100 75 2973 173.0
75 76 2976 173.0
100 77 2982 173.0
50 78 2988 174.0
150 79 2994 175.0
150 80 3007 176.0
150 81 3009 177.0
50 82 3013 177.0
75 83 3021 178.0
500 84 3024 178.0
100 85 3027 178.0
150 86 3031 179.0
100 87 3049 181.0
75 88 3054 181.0
100 89 3061 182.0
75 90 3062 182.0
100 91 3064 182.0
150 92 3083 183.0
100 93 3089 183.0
100 94 3123 186.0
500 95 3143 187.0
75 96 3146 188.0
100 97 3163 189.0
50 98 3181 190.0
75 99 3189 191.0
50 100 3253 197.0
500 101 3254 197.0
100 102 3259 198.0
150 103 3281 199.0
100 104 3283 199.0
500 105 3349 203.0
75 106 3361 204.0
50 107 3365 204.0
100 108 3400 206.0
100 109 3414 207.0
75 110 3415 207.0
50 111 3429 211.0
500 112 3435 211.0
500 113 3441 212.0
500 114 3450 213.0
100 115 3451 213.0
50 116 3458 215.0
75 117 3468 218.0
500 118 3474 219.0
500 119 3478 220.0
100 120 3490 222.0
50 121 3495 224.0
100 122 3504 226.0
500 123 3512 228.0
50 124 3525 229.0
50 125 3538 232.0
100 126 3540 232.0
500 127 3544 233.0
75 128 3546 233.0
500 129 3549 233.0
100 130 3554 234.0
100 131 3567 236.0
500 132 3574 239.0
100 133 3580 241.0
100 134 3593 244.0
75 135 3608 249.0
100 136 3618 253.0
100 137 3632 259.0
50 138 3643 265.0
100 139 3645 266.0
75 140 3653 268.0
100 141 3657 268.0
150 142 3658 269.0
100 143 3661 269.0
50 144 3667 270.0
75 145 3687 282.0
100 146 3695 290.0
50 147 3699 291.0
100 148 3705 300.0
100 149 3707 301.0
500 150 3713 302.0
150 151 3723 320.0
150 152 3730 325.0
500 153 3734 332.0
150 154 3736 333.0
150 155 3755 367.0
75 156 3756 368.0
150 157 3776 459.0
