#data counter step time
100 1 1630 75.0
100 2 1663 78.0
75 3 1732 82.0
150 4 1871 91.0
50 5 1881 92.0
150 6 1918 96.0
75 7 1966 101.0
100 8 1989 103.0
100 9 1991 103.0
50 10 2004 104.0
75 11 2063 108.0
500 12 2133 112.0
150 13 2150 114.0
100 14 2164 115.0
75 15 2224 121.0
75 16 2232 121.0
150 17 2253 123.0
75 18 2273 125.0
100 19 2288 127.0
150 20 2302 128.0
100 21 2339 132.0
150 22 2343 132.0
50 23 2376 136.0
500 24 2379 136.0
100 25 2388 136.0
100 26 2409 138.0
75 27 2422 139.0
100 28 2424 139.0
100 29 2431 140.0
100 30 2435 140.0
100 31 2438 140.0
500 32 2448 141.0
50 33 2455 142.0
500 34 2466 143.0
50 35 2476 144.0
100 36 2478 144.0
500 37 2488 145.0
150 38 2502 146.0
500 39 2503 146.0
50 40 2523 147.0
100 41 2552 149.0
100 42 2582 151.0
500 43 2583 151.0
100 44 2590 152.0
150 45 2595 152.0
150 46 2603 153.0
75 47 2607 153.0
500 48 2625 154.0
500 49 2675 160.0
75 50 2697 164.0
50 51 2699 164.0
75 52 2706 165.0
75 53 2718 167.0
50 54 2724 168.0
500 55 2736 170.0
100 56 2737 170.0
100 57 2740 170.0
100 58 2743 170.0
150 59 2761 172.0
500 60 2783 173.0
50 61 2787 174.0
100 62 2812 177.0
500 63 2820 178.0
500 64 2827 179.0
50 65 2858 184.0
150 66 2873 185.0
100 67 2882 186.0
50 68 2883 186.0
50 69 2911 188.0
100 70 2927 189.0
150 71 2928 189.0
150 72 2930 189.0
100 73 2946 190.0
50 74 2953 191.0
500 75 2971 192.0
100 76 2983 193.0
100 77 2985 193.0
500 78 2995 194.0
50 79 3039 197.0
100 80 3059 198.0
150 81 3061 198.0
75 82 3072 199.0
150 83 3077 199.0
150 84 3121 202.0
100 85 3123 202.0
100 86 3125 202.0
100 87 3138 203.0
50 88 3181 206.0
50 89 3184 207.0
500 90 3186 207.0
100 91 3195 209.0
100 92 3203 210.0
100 93 3223 213.0
75 94 3237 215.0
500 95 3242 216.0
150 96 3264 218.0
50 97 3267 218.0
100 98 3280 220.0
75 99 3285 222.0
50 100 3292 223.0
500 101 3297 225.0
100 102 3300 227.0
100 103 3310 229.0
75 104 3315 231.0
75 105 3319 231.0
100 106 3322 232.0
100 107 3330 233.0
100 108 3335 234.0
50 109 3338 234.0
50 110 3350 239.0
50 111 3362 244.0
100 112 3365 244.0
50 113 3374 246.0
500 114 3380 248.0
100 115 3381 249.0
500 116 3386 251.0
100 117 3388 252.0
75 118 3391 253.0
100 119 3398 255.0
50 120 3399 255.0
100 121 3416 261.0
500 122 3423 263.0
50 123 3436 266.0
50 124 3437 266.0
50 125 3447 269.0
100 126 3454 273.0
50 127 3457 274.0
50 128 3458 275.0
500 129 3465 277.0
75 130 3467 279.0
150 131 3475 282.0
150 132 3479 283.0
50 133 3483 285.0
150 134 3503 306.0
500 135 3506 310.0
100 136 3509 316.0
100 137 3510 317.0
100 138 3514 323.0
75 139 3521 328.0
150 140 3522 329.0
100 141 3528 330.0
150 142 3539 345.0
100 143 3550 370.0
500 144 3553 374.0
150 145 3556 391.0
150 146 3559 423.0
