#data counter step time
50 1 475 11.0
75 2 478 11.0
50 3 483 11.0
100 4 484 11.0
150 5 489 11.0
500 6 519 12.0
50 7 520 12.0
150 8 526 12.0
100 9 529 12.0
100 10 530 12.0
50 11 541 12.0
500 12 574 13.0
150 13 582 13.0
500 14 585 13.0
150 15 616 14.0
100 16 622 14.0
75 17 628 14.0
50 18 651 15.0
100 19 671 15.0
150 20 696 16.0
100 21 705 16.0
50 22 754 17.0
500 23 797 18.0
100 24 833 19.0
100 25 840 19.0
150 26 855 19.0
100 27 857 19.0
500 28 884 20.0
50 29 886 20.0
150 30 926 21.0
100 31 939 21.0
500 32 1023 23.0
