#data counter step time
75 1 473 11.0
50 2 476 11.0
100 3 480 11.0
75 4 481 11.0
100 5 484 11.0
100 6 517 12.0
50 7 518 12.0
100 8 519 12.0
500 9 524 12.0
50 10 526 12.0
150 11 562 13.0
500 12 563 13.0
150 13 566 13.0
100 14 571 13.0
75 15 595 14.0
150 16 598 14.0
50 17 609 14.0
100 18 640 15.0
100 19 642 15.0
75 20 680 16.0
50 21 682 16.0
50 22 694 16.0
75 23 707 16.0
150 24 737 17.0
150 25 739 17.0
50 26 785 18.0
100 27 793 18.0
100 28 798 18.0
500 29 818 19.0
100 30 834 19.0
75 31 873 20.0
100 32 929 21.0
75 33 933 21.0
100 34 975 22.0
75 35 1035 23.0
