#data counter step time
100 1 463 11.0
500 2 471 11.0
500 3 475 11.0
150 4 506 12.0
500 5 514 12.0
50 6 516 12.0
100 7 524 12.0
75 8 560 13.0
100 9 590 14.0
500 10 603 14.0
75 11 604 14.0
150 12 615 14.0
500 13 641 15.0
75 14 644 15.0
150 15 646 15.0
100 16 649 15.0
75 17 666 15.0
150 18 700 16.0
150 19 705 16.0
50 20 709 16.0
150 21 710 16.0
500 22 718 17.0
100 23 749 17.0
100 24 784 18.0
50 25 867 20.0
50 26 875 20.0
50 27 902 21.0
100 28 925 21.0
500 29 973 22.0
50 30 990 22.0
100 31 1033 23.0
