#data counter step time
150 1 1422 52.0
75 2 1452 54.0
100 3 1605 67.0
50 4 1630 69.0
75 5 1781 77.0
150 6 1817 79.0
100 7 1934 87.0
100 8 1986 89.0
75 9 1998 90.0
50 10 2007 90.0
75 11 2050 93.0
100 12 2073 95.0
50 13 2097 96.0
100 14 2114 97.0
150 15 2144 99.0
75 16 2174 101.0
150 17 2195 102.0
100 18 2215 104.0
75 19 2258 108.0
150 20 2262 109.0
50 21 2271 110.0
50 22 2276 111.0
500 23 2290 113.0
75 24 2298 113.0
100 25 2314 115.0
100 26 2339 117.0
75 27 2353 118.0
50 28 2360 118.0
100 29 2382 120.0
100 30 2412 122.0
100 31 2424 123.0
50 32 2430 123.0
500 33 2460 125.0
100 34 2507 129.0
100 35 2537 131.0
150 36 2538 131.0
50 37 2564 132.0
100 38 2570 133.0
100 39 2576 133.0
75 40 2588 134.0
50 41 2609 136.0
100 42 2629 137.0
500 43 2644 138.0
500 44 2670 139.0
500 45 2682 140.0
75 46 2687 140.0
150 47 2702 141.0
75 48 2739 143.0
75 49 2769 144.0
500 50 2805 149.0
150 51 2830 151.0
100 52 2839 152.0
150 53 2846 153.0
500 54 2850 153.0
100 55 2858 154.0
100 56 2865 155.0
100 57 2870 155.0
500 58 2880 156.0
100 59 2885 157.0
75 60 2892 157.0
100 61 2897 158.0
150 62 2899 158.0
75 63 2912 159.0
100 64 2922 160.0
100 65 2930 161.0
75 66 2945 162.0
100 67 2967 164.0
100 68 2985 166.0
150 69 2988 166.0
50 70 2997 167.0
100 71 3008 169.0
50 72 3019 171.0
100 73 3020 171.0
100 74 3030 172.0
75 75 3048 174.0
50 76 3054 175.0
50 77 3063 176.0
75 78 3072 177.0
100 79 3084 178.0
75 80 3091 179.0
75 81 3096 180.0
500 82 3097 180.0
500 83 3103 180.0
75 84 3108 180.0
50 85 3109 180.0
150 86 3114 181.0
100 87 3120 182.0
50 88 3150 185.0
100 89 3163 186.0
50 90 3181 187.0
150 91 3200 189.0
150 92 3203 189.0
150 93 3229 192.0
100 94 3230 192.0
150 95 3238 192.0
500 96 3253 193.0
100 97 3261 194.0
150 98 3302 197.0
100 99 3307 197.0
100 100 3328 198.0
100 101 3345 199.0
75 102 3346 199.0
150 103 3389 202.0
75 104 3391 202.0
75 105 3409 203.0
500 106 3439 205.0
100 107 3452 206.0
150 108 3462 207.0
100 109 3464 207.0
75 110 3468 207.0
150 111 3470 208.0
50 112 3476 209.0
50 113 3494 211.0
150 114 3497 211.0
50 115 3502 212.0
150 116 3506 213.0
150 117 3514 214.0
75 118 3516 214.0
100 119 3525 216.0
75 120 3528 217.0
100 121 3540 221.0
75 122 3552 224.0
75 123 3555 224.0
50 124 3560 226.0
100 125 3566 227.0
75 126 3567 227.0
150 127 3573 229.0
100 128 3585 231.0
75 129 3591 232.0
150 130 3597 233.0
100 131 3600 235.0
50 132 3603 235.0
100 133 3606 236.0
100 134 3610 238.0
150 135 3616 239.0
50 136 3624 240.0
100 137 3633 243.0
100 138 3637 245.0
75 139 3641 246.0
75 140 3648 248.0
100 141 3655 251.0
500 142 3665 260.0
75 143 3672 265.0
150 144 3679 269.0
150 145 3710 287.0
50 146 3719 296.0
500 147 3720 297.0
75 148 3732 308.0
500 149 3738 311.0
50 150 3749 316.0
75 151 3764 338.0
75 152 3769 341.0
75 153 3778 346.0
150 154 3785 356.0
150 155 3789 358.0
100 156 3791 374.0
50 157 3803 409.0
75 158 3819 477.0
100 159 3821 504.0
