#data counter
165.682522 1
157.405754 2
162.149174 3
143.658360 4
157.086303 5
136.671686 6
146.700393 7
144.120565 8
144.108599 9
156.558789 10
174.050148 11
147.936333 12
148.236406 13
147.292632 14
154.135731 15
152.491355 16
122.850721 17
153.878115 18
139.896404 19
160.926446 20
148.925697 21
142.148770 22
135.801221 23
160.578392 24
167.864716 25
161.670036 26
156.277680 27
165.412055 28
165.973859 29
164.013872 30
