#data counter
187.096774 1
175.000000 2
153.030303 3
144.000000 4
122.282609 5
127.631579 6
114.285714 7
168.939394 8
148.809524 9
184.848485 10
164.743590 11
172.916667 12
141.666667 13
160.483871 14
166.111111 15
176.612903 16
165.833333 17
211.666667 18
146.093750 19
170.833333 20
130.263158 21
144.230769 22
129.166667 23
173.437500 24
176.666667 25
168.518519 26
177.631579 27
125.714286 28
196.969697 29
181.060606 30
