#data counter step time
500 1 455 11.0
75 2 462 11.0
50 3 463 11.0
500 4 472 11.0
500 5 501 12.0
50 6 511 12.0
75 7 514 12.0
150 8 517 12.0
500 9 522 12.0
100 10 542 13.0
100 11 550 13.0
50 12 551 13.0
75 13 553 13.0
50 14 554 13.0
150 15 555 13.0
100 16 562 13.0
500 17 567 13.0
150 18 612 14.0
100 19 613 14.0
75 20 614 14.0
100 21 620 14.0
150 22 639 15.0
75 23 649 15.0
150 24 654 15.0
100 25 661 15.0
100 26 664 15.0
150 27 665 15.0
50 28 667 15.0
150 29 687 16.0
75 30 690 16.0
50 31 695 16.0
50 32 701 16.0
150 33 713 16.0
50 34 718 16.0
500 35 745 17.0
75 36 765 17.0
75 37 790 18.0
150 38 795 18.0
100 39 797 18.0
100 40 803 18.0
500 41 805 18.0
100 42 835 19.0
500 43 875 20.0
100 44 903 20.0
500 45 947 21.0
